,Index By Date,Vehicle Class,Vehicle Make,Vehicle Model,Fuel Type,Cylinder Capacity Of Engine (c.c.),Body Type,First Registration Vehicle Status (Note),Permitted Gross Vehicle Weight ,Number Of Passenger Seats ,Taxable Value (HK$),Year Of Manufacture,Date Of Registration
1051,21_01_1051,Private Car,SUBARU,BRZ S,Petrol,1998,SALOON,C2,-,3,"<= 150,000",2012,2021-01
1052,21_01_1052,Private Car,AUDI,RS6 AVANT QUATTRO,Petrol,3996,STATION WAGGON,A,-,4,"> 500,000",2020,2021-01
1053,21_01_1053,Private Car,VOLVO,XC60 B5 INSCRIPTION,Petrol,1969,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1054,21_01_1054,Private Car,TESLA,MODEL 3 LONG RANGE DUAL MOTOR ALL WHEEL DRIVE,Electric,-,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1055,21_01_1055,Private Car,JAGUAR,F-TYPE P300 R-DYN COUPE,Petrol,1997,SALOON,A,-,1,"> 500,000",2020,2021-01
1056,21_01_1056,Private Car,MINI,MINI COOPER AUTOMATIC WORKS EDITION (F56),Petrol,1499,SALOON,A,-,3,"> 150,000 and <= 300,000",2020,2021-01
1057,21_01_1057,Private Car,MINI,MINI 5-DOOR COOPER AUTOMATIC WORKS EDITION (F55),Petrol,1499,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
1058,21_01_1058,Private Car,MERCEDES BENZ,GLA200 (H247),Petrol,1332,STATION WAGGON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
1059,21_01_1059,Private Car,HONDA,CIVIC TYPE R,Petrol,1996,SALOON,C2,-,3,"> 150,000 and <= 300,000",2010,2021-01
1060,21_01_1060,Private Car,TOYOTA,SPADE,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2012,2021-01
1061,21_01_1061,Private Car,MERCEDES BENZ,E200 AMG LINE FACELIFT (W213),Petrol,1991,SALOON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1062,21_01_1062,Private Car,TOYOTA,ALPHARD 3.5 GF,Petrol,3456,STATION WAGGON,C2,-,6,"> 300,000 and <= 500,000",2020,2021-01
1063,21_01_1063,Private Car,HONDA,GRACE HYBRID EX,Petrol,1496,SALOON,C2,-,4,"<= 150,000",2014,2021-01
1064,21_01_1064,Private Car,MERCEDES BENZ,GLB250 4MATIC (X247),Petrol,1991,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-01
1065,21_01_1065,Private Car,B.M.W.,X3 XDRIVE30IA XLINE (G01),Petrol,1998,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1066,21_01_1066,Private Car,HONDA,CR-V,Petrol,1498,STATION WAGGON,A,-,6,"> 150,000 and <= 300,000",2020,2021-01
1067,21_01_1067,Private Car,HONDA,FREED HYBRID JUST SELECTION,Petrol,1496,STATION WAGGON,C2,-,5,"<= 150,000",2013,2021-01
1068,21_01_1068,Private Car,HONDA,FIT HYBRID S PACKAGE,Petrol,1496,STATION WAGGON,C2,-,4,"<= 150,000",2013,2021-01
1069,21_01_1069,Private Car,HONDA,CR-Z ALPHA MASTER LABEL,Petrol,1496,SALOON,C2,-,3,"<= 150,000",2013,2021-01
1070,21_01_1070,Private Car,PORSCHE,CAYENNE S,Petrol,2894,STATION WAGGON,A,-,4,"> 500,000",2018,2021-01
1071,21_01_1071,Private Car,HYUNDAI,KONA ELECTRIC RANGE+ (URBAN),Electric,-,STATION WAGGON,A,-,4,"> 300,000 and <= 500,000",2020,2021-01
1072,21_01_1072,Private Car,HONDA,STEPWGN SPADA,Petrol,1496,STATION WAGGON,C2,-,6,"> 150,000 and <= 300,000",2019,2021-01
1073,21_01_1073,Private Car,TOYOTA,PRIUS HYBRID,Petrol,1797,SALOON,C2,-,4,"<= 150,000",2013,2021-01
1074,21_01_1074,Private Car,MERCEDES BENZ,C200 FL(W205),Petrol,1497,SALOON,A,-,4,"> 150,000 and <= 300,000",2020,2021-01
1075,21_01_1075,Private Car,MERCEDES BENZ,GLE450 4M (V167),Petrol,2999,STATION WAGGON,A,-,6,"> 300,000 and <= 500,000",2020,2021-01
1076,21_01_1076,Private Car,PORSCHE,TAYCAN 4S,Electric,-,SALOON,A,-,4,"> 500,000",2020,2021-01
